1,2,3,4,5
115612,7,1-7-2025,07:43,Finger
115613,4,1-7-2025,07:49,Finger
115614,350038,1-7-2025,08:24,Finger
115615,350016,1-7-2025,08:35,Finger
115616,30,1-7-2025,08:39,Finger
115617,350080,1-7-2025,09:00,Finger
115618,350085,1-7-2025,09:07,Finger
115619,350081,1-7-2025,09:09,Finger
115620,350083,1-7-2025,09:22,Finger
115621,35086,1-7-2025,09:45,Finger
115622,350087,1-7-2025,09:48,Finger
115623,350087,1-7-2025,09:54,Finger
115624,288,1-7-2025,09:54,Finger
115625,31,1-7-2025,09:59,Finger
115626,4,1-7-2025,16:49,Finger
115627,7,1-7-2025,16:51,Finger
115628,350016,1-7-2025,18:09,Finger
115629,350080,1-7-2025,18:15,Finger
115630,350081,1-7-2025,18:15,Finger
115631,31,1-7-2025,18:24,Finger
115632,350083,1-7-2025,18:31,Finger
115633,350087,1-7-2025,18:33,Finger
115634,35086,1-7-2025,18:38,Finger
115635,350038,1-7-2025,18:39,Finger
115636,288,1-7-2025,18:41,Finger
115637,350085,1-7-2025,18:41,Finger
115638,7,2-7-2025,07:45,Finger
115639,4,2-7-2025,07:47,Finger
115640,350081,2-7-2025,08:15,Finger
115641,350016,2-7-2025,08:38,Finger
115642,350085,2-7-2025,08:51,Finger
115643,350085,2-7-2025,09:00,Finger
115644,350080,2-7-2025,09:05,Finger
115645,350083,2-7-2025,09:15,Finger
115646,32,2-7-2025,09:20,Finger
115647,35086,2-7-2025,09:34,Finger
115648,350087,2-7-2025,09:39,Finger
115649,31,2-7-2025,09:50,Finger
115650,288,2-7-2025,09:53,Finger
115651,350038,2-7-2025,13:22,Finger
115652,4,2-7-2025,16:45,Finger
115653,7,2-7-2025,16:50,Finger
115654,350081,2-7-2025,17:20,Finger
115655,31,2-7-2025,17:43,Finger
115656,30,2-7-2025,17:48,Finger
115657,350016,2-7-2025,18:04,Finger
115658,350080,2-7-2025,18:04,Finger
115659,350083,2-7-2025,18:21,Finger
115660,32,2-7-2025,18:21,Finger
115661,35086,2-7-2025,18:26,Finger
115662,288,2-7-2025,18:39,Finger
115663,350038,2-7-2025,18:41,Finger
115664,350085,2-7-2025,19:57,Finger
115665,350087,2-7-2025,20:11,Finger
115666,4,3-7-2025,07:49,Finger
115667,7,3-7-2025,07:59,Finger
115668,350016,3-7-2025,08:34,Finger
115669,30,3-7-2025,08:44,Finger
115670,350038,3-7-2025,08:47,Finger
115671,350085,3-7-2025,09:03,Finger
115672,32,3-7-2025,09:19,Finger
115673,31,3-7-2025,09:19,Finger
115674,350083,3-7-2025,09:24,Finger
115675,35086,3-7-2025,09:31,Finger
115676,288,3-7-2025,09:38,Finger
115677,350087,3-7-2025,09:39,Finger
115678,350081,3-7-2025,09:57,Finger
115679,350080,3-7-2025,09:58,Finger
115680,4,3-7-2025,16:46,Finger
115681,7,3-7-2025,17:04,Finger
115682,31,3-7-2025,17:52,Finger
115683,350016,3-7-2025,18:07,Finger
115684,350038,3-7-2025,18:08,Finger
115685,350085,3-7-2025,18:18,Finger
115686,32,3-7-2025,18:19,Finger
115687,35086,3-7-2025,18:29,Finger
115688,288,3-7-2025,18:39,Finger
115689,350083,3-7-2025,18:54,Finger
115690,350080,3-7-2025,19:01,Finger
115691,350081,3-7-2025,19:01,Finger
115692,350087,3-7-2025,19:52,Finger
115693,7,4-7-2025,07:45,Finger
115694,4,4-7-2025,07:50,Finger
115695,350038,4-7-2025,08:32,Finger
115696,30,4-7-2025,08:41,Finger
115697,350016,4-7-2025,08:44,Finger
115698,350080,4-7-2025,08:55,Finger
115699,350085,4-7-2025,08:59,Finger
115700,32,4-7-2025,09:12,Finger
115701,350083,4-7-2025,09:19,Finger
115702,31,4-7-2025,09:20,Finger
115703,35086,4-7-2025,09:37,Finger
115704,350087,4-7-2025,09:42,Finger
115705,288,4-7-2025,09:49,Finger
115706,350081,4-7-2025,09:53,Finger
115707,4,4-7-2025,16:49,Finger
115708,7,4-7-2025,16:49,Finger
115709,30,4-7-2025,17:47,Finger
115710,350016,4-7-2025,17:51,Finger
115711,350038,4-7-2025,17:58,Finger
115712,350080,4-7-2025,17:59,Finger
115713,350085,4-7-2025,18:20,Finger
115714,35086,4-7-2025,18:29,Finger
115715,32,4-7-2025,18:33,Finger
115716,288,4-7-2025,18:34,Finger
115717,350081,4-7-2025,18:35,Finger
115718,31,4-7-2025,20:34,Finger
115719,350087,4-7-2025,20:39,Finger
115720,350083,4-7-2025,22:04,Finger
115721,4,5-7-2025,07:54,Finger
115722,7,5-7-2025,08:03,Finger
115723,350038,5-7-2025,08:31,Finger
115724,30,5-7-2025,08:42,Finger
115725,350085,5-7-2025,08:47,Finger
115726,350016,5-7-2025,08:48,Finger
115727,350080,5-7-2025,09:01,Finger
115728,32,5-7-2025,09:14,Finger
115729,35086,5-7-2025,09:26,Finger
115730,350083,5-7-2025,09:29,Finger
115731,350081,5-7-2025,09:42,Finger
115732,350087,5-7-2025,10:05,Finger
115733,4,5-7-2025,16:53,Finger
115734,7,5-7-2025,17:14,Finger
115735,350016,5-7-2025,17:19,Finger
115736,30,5-7-2025,17:50,Finger
115737,350080,5-7-2025,18:04,Finger
115738,35086,5-7-2025,18:16,Finger
115739,350083,5-7-2025,18:20,Finger
115740,32,5-7-2025,18:21,Finger
115741,350085,5-7-2025,18:29,Finger
115742,350081,5-7-2025,18:42,Finger
115743,350038,5-7-2025,18:49,Finger
115744,4,6-7-2025,07:57,Finger
115745,7,6-7-2025,08:16,Finger
115746,350038,6-7-2025,08:41,Finger
115747,350085,6-7-2025,08:49,Finger
115748,350081,6-7-2025,09:12,Finger
115749,32,6-7-2025,09:15,Finger
115750,35086,6-7-2025,09:36,Finger
115751,4,6-7-2025,15:45,Finger
115752,7,6-7-2025,17:21,Finger
115753,350081,6-7-2025,18:15,Finger
115754,32,6-7-2025,18:18,Finger
115755,35086,6-7-2025,18:30,Finger
115756,350085,6-7-2025,18:39,Finger
115757,350038,6-7-2025,18:45,Finger
115758,4,7-7-2025,07:54,Finger
115759,7,7-7-2025,07:57,Finger
115760,30,7-7-2025,08:39,Finger
115761,350038,7-7-2025,08:41,Finger
115762,350085,7-7-2025,09:05,Finger
115763,350016,7-7-2025,09:12,Finger
115764,350083,7-7-2025,09:22,Finger
115765,31,7-7-2025,09:39,Finger
115766,350081,7-7-2025,09:44,Finger
115767,35086,7-7-2025,09:52,Finger
115768,350080,7-7-2025,09:53,Finger
115769,288,7-7-2025,10:00,Finger
115770,350087,7-7-2025,10:01,Finger
115771,4,7-7-2025,16:45,Finger
115772,7,7-7-2025,17:09,Finger
115773,30,7-7-2025,17:45,Finger
115774,350038,7-7-2025,18:04,Finger
115775,350016,7-7-2025,18:05,Finger
115776,350081,7-7-2025,18:16,Finger
115777,350083,7-7-2025,18:20,Finger
115778,350085,7-7-2025,18:22,Finger
115779,31,7-7-2025,18:31,Finger
115780,350087,7-7-2025,18:34,Finger
115781,35086,7-7-2025,18:34,Finger
115782,350080,7-7-2025,18:41,Finger
115783,350081,7-7-2025,18:45,Finger
115784,350080,7-7-2025,18:50,Finger
115785,4,8-7-2025,07:40,Finger
115786,7,8-7-2025,07:49,Finger
115787,350038,8-7-2025,08:31,Finger
115788,350016,8-7-2025,08:36,Finger
115789,30,8-7-2025,08:40,Finger
115790,32,8-7-2025,09:04,Finger
115791,350085,8-7-2025,09:12,Finger
115792,350081,8-7-2025,09:14,Finger
115793,350083,8-7-2025,09:29,Finger
115794,31,8-7-2025,09:29,Finger
115795,288,8-7-2025,09:35,Finger
115796,4,8-7-2025,16:52,Finger
115797,7,8-7-2025,16:56,Finger
115798,31,8-7-2025,17:54,Finger
115799,350038,8-7-2025,17:59,Finger
115800,350083,8-7-2025,18:19,Finger
115801,288,8-7-2025,18:21,Finger
115802,350081,8-7-2025,18:21,Finger
115803,350016,8-7-2025,19:35,Finger
115804,32,8-7-2025,19:35,Finger
115805,350087,8-7-2025,19:36,Finger
115806,350085,8-7-2025,19:36,Finger
115807,7,9-7-2025,07:45,Finger
115808,4,9-7-2025,07:48,Finger
115809,350038,9-7-2025,08:35,Finger
115810,350085,9-7-2025,08:37,Finger
115811,30,9-7-2025,08:43,Finger
115812,350016,9-7-2025,08:43,Finger
115813,350080,9-7-2025,08:54,Finger
115814,350083,9-7-2025,08:55,Finger
115815,32,9-7-2025,09:14,Finger
115816,350087,9-7-2025,09:38,Finger
115817,35086,9-7-2025,09:47,Finger
115818,31,9-7-2025,09:47,Finger
115819,288,9-7-2025,09:49,Finger
115820,350081,9-7-2025,10:02,Finger
115821,7,9-7-2025,16:49,Finger
115822,4,9-7-2025,16:49,Finger
115823,350080,9-7-2025,17:54,Finger
115824,350016,9-7-2025,18:00,Finger
115825,350038,9-7-2025,18:03,Finger
115826,32,9-7-2025,18:25,Finger
115827,350083,9-7-2025,18:30,Finger
115828,31,9-7-2025,18:30,Finger
115829,35086,9-7-2025,18:32,Finger
115830,350085,9-7-2025,18:35,Finger
115831,288,9-7-2025,18:37,Finger
115832,350081,9-7-2025,18:43,Finger
115833,350087,9-7-2025,19:59,Finger
115834,350087,9-7-2025,20:20,Finger
115835,7,10-7-2025,08:08,Finger
115836,350081,10-7-2025,08:25,Finger
115837,350083,10-7-2025,08:36,Finger
115838,350038,10-7-2025,08:37,Finger
115839,30,10-7-2025,08:38,Finger
115840,350016,10-7-2025,08:47,Finger
115841,350080,10-7-2025,09:00,Finger
115842,288,10-7-2025,09:21,Finger
115843,32,10-7-2025,09:22,Finger
115844,31,10-7-2025,09:33,Finger
115845,35086,10-7-2025,09:57,Finger
115846,4,10-7-2025,16:47,Finger
115847,7,10-7-2025,17:18,Finger
115848,30,10-7-2025,17:53,Finger
115849,350081,10-7-2025,17:55,Finger
115850,350080,10-7-2025,18:05,Finger
115851,288,10-7-2025,18:21,Finger
115852,31,10-7-2025,18:23,Finger
115853,350083,10-7-2025,18:26,Finger
115854,32,10-7-2025,18:28,Finger
115855,35086,10-7-2025,18:28,Finger
115856,350016,10-7-2025,20:11,Finger
115857,350038,10-7-2025,20:48,Finger
115858,350038,11-7-2025,07:16,Finger
115859,4,11-7-2025,07:46,Finger
115860,7,11-7-2025,08:07,Finger
115861,350016,11-7-2025,08:32,Finger
115862,30,11-7-2025,08:38,Finger
115863,350081,11-7-2025,08:47,Finger
115864,350083,11-7-2025,08:52,Finger
115865,350085,11-7-2025,08:52,Finger
115866,350080,11-7-2025,08:57,Finger
115867,32,11-7-2025,09:16,Finger
115868,31,11-7-2025,09:20,Finger
115869,288,11-7-2025,09:30,Finger
115870,35086,11-7-2025,09:55,Finger
115871,4,11-7-2025,16:46,Finger
115872,7,11-7-2025,17:11,Finger
115873,350081,11-7-2025,17:47,Finger
115874,350080,11-7-2025,17:56,Finger
115875,350016,11-7-2025,17:58,Finger
115876,31,11-7-2025,17:59,Finger
115877,350083,11-7-2025,18:04,Finger
115878,32,11-7-2025,18:21,Finger
115879,350085,11-7-2025,18:23,Finger
115880,288,11-7-2025,18:24,Finger
115881,35086,11-7-2025,18:50,Finger
115882,350087,11-7-2025,19:40,Finger
115883,350038,11-7-2025,19:41,Finger
115884,350038,12-7-2025,07:16,Finger
115885,4,12-7-2025,07:48,Finger
115886,350081,12-7-2025,08:44,Finger
115887,350080,12-7-2025,08:45,Finger
115888,350085,12-7-2025,08:55,Finger
115889,350083,12-7-2025,09:13,Finger
115890,32,12-7-2025,09:19,Finger
115891,31,12-7-2025,09:27,Finger
115892,288,12-7-2025,09:29,Finger
115893,35086,12-7-2025,09:38,Finger
115894,350087,12-7-2025,09:46,Finger
115895,4,12-7-2025,16:46,Finger
115896,30,12-7-2025,17:48,Finger
115897,350080,12-7-2025,17:49,Finger
115898,350081,12-7-2025,17:50,Finger
115899,31,12-7-2025,18:13,Finger
115900,350083,12-7-2025,18:16,Finger
115901,32,12-7-2025,18:25,Finger
115902,350085,12-7-2025,18:25,Finger
115903,288,12-7-2025,18:30,Finger
115904,35086,12-7-2025,18:37,Finger
115905,350038,12-7-2025,19:17,Finger
115906,350087,12-7-2025,19:45,Finger
115907,350080,13-7-2025,07:47,Finger
115908,350038,13-7-2025,07:53,Finger
115909,4,13-7-2025,07:59,Finger
115910,350016,13-7-2025,08:57,Finger
115911,32,13-7-2025,09:10,Finger
115912,35086,13-7-2025,09:42,Finger
115913,350087,13-7-2025,09:48,Finger
115914,4,13-7-2025,15:46,Finger
115915,350080,13-7-2025,16:55,Finger
115916,350016,13-7-2025,18:12,Finger
115917,32,13-7-2025,18:12,Finger
115918,35086,13-7-2025,18:29,Finger
115919,350038,13-7-2025,19:15,Finger
115920,350038,14-7-2025,07:44,Finger
115921,7,14-7-2025,07:53,Finger
115922,4,14-7-2025,07:57,Finger
115923,30,14-7-2025,08:42,Finger
115924,350083,14-7-2025,08:48,Finger
115925,350085,14-7-2025,09:01,Finger
115926,32,14-7-2025,09:08,Finger
115927,350081,14-7-2025,09:09,Finger
115928,31,14-7-2025,09:20,Finger
115929,288,14-7-2025,09:35,Finger
115930,350016,14-7-2025,09:43,Finger
115931,350080,14-7-2025,09:44,Finger
115932,35086,14-7-2025,09:46,Finger
115933,350087,14-7-2025,09:46,Finger
115934,7,14-7-2025,17:02,Finger
115935,30,14-7-2025,18:01,Finger
115936,350038,14-7-2025,18:05,Finger
115937,350083,14-7-2025,18:08,Finger
115938,350080,14-7-2025,18:11,Finger
115939,350081,14-7-2025,18:11,Finger
115940,288,14-7-2025,18:11,Finger
115941,35086,14-7-2025,18:41,Finger
115942,350085,14-7-2025,18:45,Finger
115943,32,14-7-2025,18:45,Finger
115944,350087,14-7-2025,19:14,Finger
115945,350016,14-7-2025,19:19,Finger
115946,31,14-7-2025,19:19,Finger
115947,350038,15-7-2025,07:30,Finger
115948,4,15-7-2025,08:04,Finger
115949,7,15-7-2025,08:24,Finger
115950,350016,15-7-2025,08:41,Finger
115951,350083,15-7-2025,08:47,Finger
115952,30,15-7-2025,08:48,Finger
115953,32,15-7-2025,09:00,Finger
115954,31,15-7-2025,09:09,Finger
115955,350085,15-7-2025,09:22,Finger
115956,288,15-7-2025,09:27,Finger
115957,350087,15-7-2025,09:59,Finger
115958,350081,15-7-2025,10:08,Finger
115959,350080,15-7-2025,13:44,Finger
115960,4,15-7-2025,17:08,Finger
115961,7,15-7-2025,17:44,Finger
115962,350016,15-7-2025,17:59,Finger
115963,30,15-7-2025,18:01,Finger
115964,350038,15-7-2025,18:02,Finger
115965,350080,15-7-2025,18:10,Finger
115966,32,15-7-2025,18:18,Finger
115967,31,15-7-2025,18:19,Finger
115968,350081,15-7-2025,18:21,Finger
115969,288,15-7-2025,18:21,Finger
115970,31,15-7-2025,18:37,Finger
115971,350083,15-7-2025,18:39,Finger
115972,350085,15-7-2025,19:08,Finger
115973,350081,15-7-2025,19:14,Finger
115974,350087,15-7-2025,19:46,Finger
115975,350038,16-7-2025,07:18,Finger
115976,7,16-7-2025,07:52,Finger
115977,4,16-7-2025,07:55,Finger
115978,350016,16-7-2025,08:36,Finger
115979,30,16-7-2025,08:39,Finger
115980,350085,16-7-2025,08:55,Finger
115981,350083,16-7-2025,09:20,Finger
115982,350081,16-7-2025,09:20,Finger
115983,350080,16-7-2025,09:33,Finger
115984,35086,16-7-2025,09:41,Finger
115985,31,16-7-2025,09:47,Finger
115986,350087,16-7-2025,09:48,Finger
115987,288,16-7-2025,09:50,Finger
115988,4,16-7-2025,16:45,Finger
115989,7,16-7-2025,16:56,Finger
115990,31,16-7-2025,18:04,Finger
115991,350016,16-7-2025,18:04,Finger
115992,350038,16-7-2025,18:18,Finger
115993,350081,16-7-2025,18:19,Finger
115994,350083,16-7-2025,18:22,Finger
115995,350080,16-7-2025,18:32,Finger
115996,350085,16-7-2025,18:39,Finger
115997,35086,16-7-2025,18:39,Finger
115998,350087,16-7-2025,20:34,Finger
115999,350038,17-7-2025,07:10,Finger
116000,4,17-7-2025,07:52,Finger
116001,7,17-7-2025,07:54,Finger
116002,30,17-7-2025,08:36,Finger
116003,350080,17-7-2025,08:49,Finger
116004,350016,17-7-2025,08:53,Finger
116005,32,17-7-2025,09:03,Finger
116006,350083,17-7-2025,09:20,Finger
116007,350085,17-7-2025,09:25,Finger
116008,31,17-7-2025,09:32,Finger
116009,35,17-7-2025,09:33,Finger
116010,350081,17-7-2025,09:34,Finger
116011,350087,17-7-2025,09:37,Finger
116012,35086,17-7-2025,09:37,Finger
116013,350083,17-7-2025,09:42,Finger
116014,288,17-7-2025,09:50,Finger
116015,350083,17-7-2025,09:51,Finger
116016,350081,17-7-2025,14:11,Finger
116017,4,17-7-2025,16:49,Finger
116018,7,17-7-2025,17:03,Finger
116019,31,17-7-2025,17:44,Finger
116020,35,17-7-2025,17:52,Finger
116021,350080,17-7-2025,17:52,Finger
116022,350038,17-7-2025,18:10,Finger
116023,350016,17-7-2025,18:12,Finger
116024,350083,17-7-2025,18:21,Finger
116025,288,17-7-2025,18:28,Finger
116026,35086,17-7-2025,18:30,Finger
116027,32,17-7-2025,18:55,Finger
116028,350087,17-7-2025,22:03,Finger
116029,350085,17-7-2025,22:04,Finger
116030,350038,18-7-2025,07:26,Finger
116031,4,18-7-2025,07:48,Finger
116032,7,18-7-2025,07:49,Finger
116033,350080,18-7-2025,08:12,Finger
116034,350016,18-7-2025,08:38,Finger
116035,30,18-7-2025,08:46,Finger
116036,350081,18-7-2025,08:55,Finger
116037,32,18-7-2025,09:08,Finger
116038,350085,18-7-2025,09:18,Finger
116039,31,18-7-2025,09:21,Finger
116040,288,18-7-2025,09:24,Finger
116041,350083,18-7-2025,09:28,Finger
116042,350087,18-7-2025,09:36,Finger
116043,35086,18-7-2025,09:36,Finger
116044,350080,18-7-2025,12:45,Finger
116045,4,18-7-2025,16:46,Finger
116046,7,18-7-2025,16:54,Finger
116047,31,18-7-2025,17:39,Finger
116048,350081,18-7-2025,18:03,Finger
116049,350083,18-7-2025,18:21,Finger
116050,288,18-7-2025,18:26,Finger
116051,35086,18-7-2025,18:45,Finger
116052,350016,18-7-2025,18:49,Finger
116053,32,18-7-2025,19:34,Finger
116054,350038,18-7-2025,20:05,Finger
116055,350038,19-7-2025,07:22,Finger
116056,4,19-7-2025,07:50,Finger
116057,350016,19-7-2025,08:46,Finger
116058,350080,19-7-2025,08:49,Finger
116059,30,19-7-2025,08:50,Finger
116060,350085,19-7-2025,09:02,Finger
116061,350081,19-7-2025,09:10,Finger
116062,350083,19-7-2025,09:12,Finger
116063,31,19-7-2025,09:14,Finger
116064,32,19-7-2025,09:17,Finger
116065,35086,19-7-2025,09:50,Finger
116066,288,19-7-2025,13:58,Finger
116067,4,19-7-2025,16:52,Finger
116068,30,19-7-2025,17:51,Finger
116069,350080,19-7-2025,17:58,Finger
116070,350081,19-7-2025,18:10,Finger
116071,350016,19-7-2025,18:11,Finger
116072,350083,19-7-2025,18:27,Finger
116073,288,19-7-2025,18:30,Finger
116074,35086,19-7-2025,18:40,Finger
116075,31,19-7-2025,18:46,Finger
116076,32,19-7-2025,18:48,Finger
116077,350038,19-7-2025,20:12,Finger
116078,350085,19-7-2025,20:12,Finger
116079,350038,20-7-2025,07:31,Finger
116080,7,20-7-2025,07:51,Finger
116081,4,20-7-2025,08:01,Finger
116082,350081,20-7-2025,08:40,Finger
116083,350083,20-7-2025,09:12,Finger
116084,32,20-7-2025,09:14,Finger
116085,350087,20-7-2025,09:23,Finger
116086,35086,20-7-2025,09:50,Finger
116087,4,20-7-2025,15:53,Finger
116088,7,20-7-2025,17:01,Finger
116089,350081,20-7-2025,17:53,Finger
116090,32,20-7-2025,18:28,Finger
116091,350083,20-7-2025,18:34,Finger
116092,350087,20-7-2025,18:34,Finger
116093,35086,20-7-2025,18:34,Finger
116094,350038,20-7-2025,20:11,Finger
116095,350038,21-7-2025,07:36,Finger
116096,4,21-7-2025,07:55,Finger
116097,7,21-7-2025,08:00,Finger
116098,350016,21-7-2025,08:42,Finger
116099,30,21-7-2025,08:42,Finger
116100,350080,21-7-2025,08:58,Finger
116101,31,21-7-2025,09:13,Finger
116102,350085,21-7-2025,09:17,Finger
116103,350083,21-7-2025,09:17,Finger
116104,32,21-7-2025,09:23,Finger
116105,35086,21-7-2025,09:30,Finger
116106,350087,21-7-2025,09:30,Finger
116107,288,21-7-2025,09:38,Finger
116108,350081,21-7-2025,13:10,Finger
116109,4,21-7-2025,16:45,Finger
116110,7,21-7-2025,17:04,Finger
116111,350081,21-7-2025,18:04,Finger
116112,350080,21-7-2025,18:11,Finger
116113,350080,21-7-2025,18:27,Finger
116114,288,21-7-2025,18:28,Finger
116115,350016,21-7-2025,18:48,Finger
116116,35086,21-7-2025,18:48,Finger
116117,350083,21-7-2025,18:57,Finger
116118,32,21-7-2025,18:58,Finger
116119,31,21-7-2025,19:26,Finger
116120,350038,21-7-2025,21:21,Finger
116121,350085,21-7-2025,21:43,Finger
116122,7,22-7-2025,07:27,Finger
116123,350038,22-7-2025,07:27,Finger
116124,4,22-7-2025,07:51,Finger
116125,30,22-7-2025,08:28,Finger
116126,350016,22-7-2025,08:43,Finger
116127,350080,22-7-2025,08:55,Finger
116128,31,22-7-2025,09:11,Finger
116129,32,22-7-2025,09:17,Finger
116130,350083,22-7-2025,09:21,Finger
116131,350085,22-7-2025,09:28,Finger
116132,35086,22-7-2025,09:38,Finger
116133,350087,22-7-2025,09:38,Finger
116134,350081,22-7-2025,09:43,Finger
116135,7,22-7-2025,16:50,Finger
116136,350080,22-7-2025,18:03,Finger
116137,288,22-7-2025,18:26,Finger
116138,350016,22-7-2025,18:27,Finger
116139,31,22-7-2025,18:28,Finger
116140,350083,22-7-2025,18:40,Finger
116141,31,22-7-2025,18:42,Finger
116142,350081,22-7-2025,18:44,Finger
116143,35086,22-7-2025,18:44,Finger
116144,32,22-7-2025,19:44,Finger
116145,350038,22-7-2025,19:51,Finger
116146,350085,22-7-2025,21:18,Finger
116147,350087,22-7-2025,21:18,Finger
116148,7,23-7-2025,07:46,Finger
116149,4,23-7-2025,08:06,Finger
116150,350038,23-7-2025,08:13,Finger
116151,350016,23-7-2025,09:53,Finger
116152,288,23-7-2025,09:53,Finger
116153,31,23-7-2025,10:13,Finger
116154,350083,23-7-2025,10:23,Finger
116155,350085,23-7-2025,10:35,Finger
116156,350081,23-7-2025,10:36,Finger
116157,35086,23-7-2025,11:31,Finger
116158,350081,23-7-2025,15:14,Finger
116159,4,23-7-2025,16:48,Finger
116160,7,23-7-2025,16:55,Finger
116161,31,23-7-2025,17:52,Finger
116162,350083,23-7-2025,18:19,Finger
116163,35086,23-7-2025,18:24,Finger
116164,350016,23-7-2025,18:31,Finger
116165,288,23-7-2025,18:47,Finger
116166,350038,23-7-2025,20:02,Finger
116167,350087,23-7-2025,20:15,Finger
116168,4,24-7-2025,07:41,Finger
116169,7,24-7-2025,07:44,Finger
116170,350038,24-7-2025,08:09,Finger
116171,30,24-7-2025,08:39,Finger
116172,350016,24-7-2025,08:45,Finger
116173,350080,24-7-2025,08:57,Finger
116174,350083,24-7-2025,09:11,Finger
116175,32,24-7-2025,09:24,Finger
116176,350085,24-7-2025,09:25,Finger
116177,288,24-7-2025,09:26,Finger
116178,31,24-7-2025,09:45,Finger
116179,350087,24-7-2025,09:47,Finger
116180,350081,24-7-2025,09:49,Finger
116181,4,24-7-2025,16:48,Finger
116182,7,24-7-2025,16:56,Finger
116183,30,24-7-2025,17:51,Finger
116184,31,24-7-2025,17:56,Finger
116185,350016,24-7-2025,17:57,Finger
116186,350080,24-7-2025,18:06,Finger
116187,350038,24-7-2025,18:15,Finger
116188,350083,24-7-2025,18:28,Finger
116189,288,24-7-2025,18:29,Finger
116190,32,24-7-2025,18:41,Finger
116191,350081,24-7-2025,18:50,Finger
116192,350087,24-7-2025,19:40,Finger
116193,7,25-7-2025,07:38,Finger
