1,2,3,4,5
116346,4,1-8-2025,07:54,Finger
116347,7,1-8-2025,07:58,Finger
116348,350038,1-8-2025,08:19,Finger
116349,30,1-8-2025,08:43,Finger
116350,350016,1-8-2025,08:47,Finger
116351,350083,1-8-2025,08:53,Finger
116352,350080,1-8-2025,09:01,Finger
116353,350085,1-8-2025,09:15,Finger
116354,350081,1-8-2025,09:24,Finger
116355,32,1-8-2025,09:27,Finger
116356,31,1-8-2025,09:40,Finger
116357,288,1-8-2025,09:40,Finger
116358,350087,1-8-2025,09:51,Finger
116359,35086,1-8-2025,09:51,Finger
116360,4,1-8-2025,16:48,Finger
116361,7,1-8-2025,17:05,Finger
116362,31,1-8-2025,17:42,Finger
116363,30,1-8-2025,17:45,Finger
116364,350080,1-8-2025,18:00,Finger
116365,350085,1-8-2025,18:11,Finger
116366,350083,1-8-2025,18:22,Finger
116367,350081,1-8-2025,18:24,Finger
116368,288,1-8-2025,18:40,Finger
116369,35086,1-8-2025,18:45,Finger
116370,350016,1-8-2025,18:51,Finger
116371,32,1-8-2025,18:59,Finger
116372,350038,1-8-2025,19:34,Finger
116373,350087,1-8-2025,19:38,Finger
116374,4,2-8-2025,07:51,Finger
116375,350038,2-8-2025,08:22,Finger
116376,350016,2-8-2025,08:43,Finger
116377,30,2-8-2025,08:45,Finger
116378,350080,2-8-2025,08:52,Finger
116379,350083,2-8-2025,09:02,Finger
116380,32,2-8-2025,09:24,Finger
116381,350085,2-8-2025,09:25,Finger
116382,350087,2-8-2025,09:32,Finger
116383,31,2-8-2025,09:33,Finger
116384,288,2-8-2025,09:38,Finger
116385,35086,2-8-2025,09:50,Finger
116386,350081,2-8-2025,09:52,Finger
116387,350081,2-8-2025,16:53,Finger
116388,4,2-8-2025,16:57,Finger
116389,350080,2-8-2025,17:56,Finger
116390,350083,2-8-2025,18:21,Finger
116391,288,2-8-2025,18:42,Finger
116392,350016,2-8-2025,18:46,Finger
116393,35086,2-8-2025,18:50,Finger
116394,350081,2-8-2025,18:50,Finger
116395,32,2-8-2025,18:55,Finger
116396,350085,2-8-2025,18:59,Finger
116397,350087,2-8-2025,19:05,Finger
116398,350038,2-8-2025,19:55,Finger
116399,350038,3-8-2025,08:28,Finger
116400,32,3-8-2025,09:17,Finger
116401,350083,3-8-2025,09:32,Finger
116402,35086,3-8-2025,09:38,Finger
116403,350087,3-8-2025,09:44,Finger
116404,32,3-8-2025,13:31,Finger
116405,4,3-8-2025,15:45,Finger
116406,7,3-8-2025,16:46,Finger
116407,350083,3-8-2025,18:19,Finger
116408,350087,3-8-2025,19:03,Finger
116409,35086,3-8-2025,19:03,Finger
116410,350038,3-8-2025,19:54,Finger
116411,7,4-8-2025,07:43,Finger
116412,4,4-8-2025,07:45,Finger
116413,350038,4-8-2025,08:22,Finger
116414,30,4-8-2025,08:38,Finger
116415,350080,4-8-2025,08:54,Finger
116416,350083,4-8-2025,09:06,Finger
116417,350016,4-8-2025,09:11,Finger
116418,32,4-8-2025,09:21,Finger
116419,31,4-8-2025,09:30,Finger
116420,350085,4-8-2025,09:30,Finger
116421,288,4-8-2025,09:44,Finger
116422,35086,4-8-2025,09:51,Finger
116423,350087,4-8-2025,09:58,Finger
116424,350081,4-8-2025,10:08,Finger
116425,7,4-8-2025,16:51,Finger
116426,30,4-8-2025,17:43,Finger
116427,350038,4-8-2025,17:48,Finger
116428,350080,4-8-2025,18:00,Finger
116429,350083,4-8-2025,18:17,Finger
116430,350087,4-8-2025,18:44,Finger
116431,288,4-8-2025,18:44,Finger
116432,35086,4-8-2025,18:44,Finger
116433,350016,4-8-2025,18:45,Finger
116434,350081,4-8-2025,18:56,Finger
116435,31,4-8-2025,19:24,Finger
116436,32,4-8-2025,19:50,Finger
116437,350085,4-8-2025,19:51,Finger
116438,4,5-8-2025,07:52,Finger
116439,7,5-8-2025,07:54,Finger
116440,350038,5-8-2025,08:04,Finger
116441,30,5-8-2025,08:37,Finger
116442,350016,5-8-2025,08:37,Finger
116443,31,5-8-2025,08:47,Finger
116444,350083,5-8-2025,09:01,Finger
116445,350080,5-8-2025,09:18,Finger
116446,32,5-8-2025,09:20,Finger
116447,350081,5-8-2025,09:20,Finger
